release_date,title,character
"February 14, 1945",Captain America Comics Vol 1 46,Steven Rogers (Earth-616)
"April 5, 1945",Captain America Comics Vol 1 47,Steven Rogers (Earth-616)
"June 30, 1945",All Select Comics Vol 1 8,Steven Rogers (Earth-616)
"July 9, 1945",U.S.A. Comics Vol 1 16,Steven Rogers (Earth-616)
"July 15, 1945",All Winners Comics Vol 1 16,Steven Rogers (Earth-616)
"April 30, 1945",Captain America Comics Vol 1 48,Steven Rogers (Earth-616)
"August 15, 1946",Captain America Comics Vol 1 59,Steven Rogers (Earth-616)
"August 19, 1953",Young Men Vol 1 24,Steven Rogers (Earth-616)
"January 18, 1954",Captain America Vol 1 76,Steven Rogers (Earth-616)
"January 3, 1964",Avengers Vol 1 4,Steven Rogers (Earth-616)
"January 10, 1964",Fantastic Four Vol 1 25,Steven Rogers (Earth-616)
"February 11, 1964",Fantastic Four Vol 1 26,Steven Rogers (Earth-616)
"March 3, 1964",Avengers Vol 1 5,Steven Rogers (Earth-616)
"April 2, 1964",Journey Into Mystery Vol 1 105,Steven Rogers (Earth-616)
"May 5, 1964",Avengers Vol 1 6,Steven Rogers (Earth-616)
"May 5, 1964",Tales to Astonish Vol 1 58,Steven Rogers (Earth-616)
"June 9, 1964",Avengers Vol 1 7,Steven Rogers (Earth-616)
"June 2, 1964",Tales to Astonish Vol 1 59,Steven Rogers (Earth-616)
"July 9, 1964",Avengers Vol 1 8,Steven Rogers (Earth-616)
"June 11, 1964",Amazing Spider-Man Annual Vol 1 1,Steven Rogers (Earth-616)
"July 9, 1964",Fantastic Four Vol 1 31,Steven Rogers (Earth-616)
"July 9, 1964",Tales of Suspense Vol 1 58,Steven Rogers (Earth-616)
"August 11, 1964",Amazing Spider-Man Vol 1 18,Steven Rogers (Earth-616)
"August 11, 1964",Avengers Vol 1 9,Steven Rogers (Earth-616)
"August 11, 1964",Tales of Suspense Vol 1 59,Steven Rogers (Earth-616)
"September 8, 1964",Avengers Vol 1 10,Steven Rogers (Earth-616)
"September 8, 1964",Tales of Suspense Vol 1 60,Steven Rogers (Earth-616)
"September 1, 1964",Tales to Astonish Vol 1 62,Steven Rogers (Earth-616)
"October 8, 1964",Sgt. Fury Vol 1 13,Steven Rogers (Earth-616)
"October 8, 1964",Avengers Vol 1 11,Steven Rogers (Earth-616)
"October 8, 1964",Tales of Suspense Vol 1 61,Steven Rogers (Earth-616)
"November 3, 1964",X-Men Vol 1 9,Steven Rogers (Earth-616)
"November 10, 1964",Avengers Vol 1 12,Steven Rogers (Earth-616)
"November 10, 1964",Tales of Suspense Vol 1 62,Steven Rogers (Earth-616)
"December 10, 1964",Avengers Vol 1 13,Steven Rogers (Earth-616)
"December 10, 1964",Fantastic Four Vol 1 36,Steven Rogers (Earth-616)
"December 10, 1964",Tales of Suspense Vol 1 63,Steven Rogers (Earth-616)
"January 12, 1965",Avengers Vol 1 14,Steven Rogers (Earth-616)
"January 12, 1965",Tales of Suspense Vol 1 64,Steven Rogers (Earth-616)
"February 11, 1965",Avengers Vol 1 15,Steven Rogers (Earth-616)
"March 4, 1965",Journey Into Mystery Vol 1 116,Steven Rogers (Earth-616)
"February 11, 1965",Tales of Suspense Vol 1 65,Steven Rogers (Earth-616)
"March 11, 1965",Avengers Vol 1 16,Steven Rogers (Earth-616)
"March 11, 1965",Tales of Suspense Vol 1 66,Steven Rogers (Earth-616)
"April 8, 1965",Avengers Vol 1 17,Steven Rogers (Earth-616)
"April 8, 1965",Tales of Suspense Vol 1 67,Steven Rogers (Earth-616)
"May 11, 1965",Avengers Vol 1 18,Steven Rogers (Earth-616)
"May 11, 1965",Tales of Suspense Vol 1 68,Steven Rogers (Earth-616)
"June 8, 1965",Avengers Vol 1 19,Steven Rogers (Earth-616)
"June 8, 1965",Tales of Suspense Vol 1 69,Steven Rogers (Earth-616)
"July 8, 1965",Avengers Vol 1 20,Steven Rogers (Earth-616)
"July 1, 1965",Fantastic Four Annual Vol 1 3,Steven Rogers (Earth-616)
"July 8, 1965",Tales of Suspense Vol 1 70,Steven Rogers (Earth-616)
"August 10, 1965",Avengers Vol 1 21,Steven Rogers (Earth-616)
"September 5, 1965",Avengers Vol 1 22,Steven Rogers (Earth-616)
"August 10, 1965",Tales of Suspense Vol 1 71,Steven Rogers (Earth-616)
"September 9, 1965",Tales of Suspense Vol 1 72,Steven Rogers (Earth-616)
"October 12, 1965",Avengers Vol 1 23,Steven Rogers (Earth-616)
"October 12, 1965",Tales of Suspense Vol 1 73,Steven Rogers (Earth-616)
"November 11, 1965",Avengers Vol 1 24,Steven Rogers (Earth-616)
"December 9, 1965",Avengers Vol 1 25,Steven Rogers (Earth-616)
"November 11, 1965",Tales of Suspense Vol 1 74,Steven Rogers (Earth-616)
"December 9, 1965",Tales of Suspense Vol 1 75,Steven Rogers (Earth-616)
"January 11, 1966",Avengers Vol 1 26,Steven Rogers (Earth-616)
"February 10, 1966",Avengers Vol 1 27,Steven Rogers (Earth-616)
"January 11, 1966",Tales of Suspense Vol 1 76,Steven Rogers (Earth-616)
"February 10, 1966",Tales of Suspense Vol 1 77,Steven Rogers (Earth-616)
"March 10, 1966",Avengers Vol 1 28,Steven Rogers (Earth-616)
"April 12, 1966",Avengers Vol 1 29,Steven Rogers (Earth-616)
"March 10, 1966",Tales of Suspense Vol 1 78,Steven Rogers (Earth-616)
"April 12, 1966",Tales of Suspense Vol 1 79,Steven Rogers (Earth-616)
"May 10, 1966",Avengers Vol 1 30,Steven Rogers (Earth-616)
"May 10, 1966",Tales of Suspense Vol 1 80,Steven Rogers (Earth-616)
"June 9, 1966",Avengers Vol 1 31,Steven Rogers (Earth-616)
"July 7, 1966",Avengers Vol 1 32,Steven Rogers (Earth-616)
"June 9, 1966",Tales of Suspense Vol 1 81,Steven Rogers (Earth-616)
"July 7, 1966",Tales of Suspense Vol 1 82,Steven Rogers (Earth-616)
"August 9, 1966",Avengers Vol 1 33,Steven Rogers (Earth-616)
"August 2, 1966",Amazing Spider-Man Annual Vol 1 3,Steven Rogers (Earth-616)
"August 9, 1966",Tales of Suspense Vol 1 83,Steven Rogers (Earth-616)
"September 8, 1966",Avengers Vol 1 34,Steven Rogers (Earth-616)
"October 11, 1966",Avengers Vol 1 35,Steven Rogers (Earth-616)
"September 8, 1966",Tales of Suspense Vol 1 84,Steven Rogers (Earth-616)
"November 10, 1966",Avengers Vol 1 36,Steven Rogers (Earth-616)
"October 11, 1966",Tales of Suspense Vol 1 85,Steven Rogers (Earth-616)
"November 10, 1966",Tales of Suspense Vol 1 86,Steven Rogers (Earth-616)
"December 8, 1966",Avengers Vol 1 37,Steven Rogers (Earth-616)
"December 8, 1966",Tales of Suspense Vol 1 87,Steven Rogers (Earth-616)
"January 10, 1967",Avengers Vol 1 38,Steven Rogers (Earth-616)
"January 10, 1967",Tales of Suspense Vol 1 88,Steven Rogers (Earth-616)
"February 2, 1967",Strange Tales Vol 1 156,Steven Rogers (Earth-616)
"February 2, 1967",Tales of Suspense Vol 1 89,Steven Rogers (Earth-616)
"March 14, 1967",Avengers Vol 1 40,Steven Rogers (Earth-616)
"March 2, 1967",Tales of Suspense Vol 1 90,Steven Rogers (Earth-616)
"April 4, 1967",Tales of Suspense Vol 1 91,Steven Rogers (Earth-616)
"May 9, 1967",Avengers Vol 1 42,Steven Rogers (Earth-616)
"May 2, 1967",Strange Tales Vol 1 159,Steven Rogers (Earth-616)
"May 2, 1967",Tales of Suspense Vol 1 92,Steven Rogers (Earth-616)
"June 8, 1967",Avengers Vol 1 43,Steven Rogers (Earth-616)
"June 1, 1967",Strange Tales Vol 1 160,Steven Rogers (Earth-616)
"June 1, 1967",Tales of Suspense Vol 1 93,Steven Rogers (Earth-616)
"July 11, 1967",Avengers Annual Vol 1 1,Steven Rogers (Earth-616)
"July 11, 1967",Avengers Vol 1 44,Steven Rogers (Earth-616)
"June 29, 1967",Strange Tales Vol 1 161,Steven Rogers (Earth-616)
"June 29, 1967",Tales of Suspense Vol 1 94,Steven Rogers (Earth-616)
"August 8, 1967",Avengers Vol 1 45,Steven Rogers (Earth-616)
"August 1, 1967",Strange Tales Vol 1 162,Steven Rogers (Earth-616)
"August 1, 1967",Tales of Suspense Vol 1 95,Steven Rogers (Earth-616)
"September 7, 1967",Avengers Vol 1 46,Steven Rogers (Earth-616)
"October 10, 1967",Avengers Vol 1 47,Steven Rogers (Earth-616)
"August 31, 1967",Tales of Suspense Vol 1 96,Steven Rogers (Earth-616)
"October 3, 1967",Tales of Suspense Vol 1 97,Steven Rogers (Earth-616)
"November 2, 1967",Tales of Suspense Vol 1 98,Steven Rogers (Earth-616)
"November 30, 1967",Tales of Suspense Vol 1 99,Steven Rogers (Earth-616)
"January 2, 1968",Captain America Vol 1 100,Steven Rogers (Earth-616)
"February 8, 1968",Avengers Vol 1 51,Steven Rogers (Earth-616)
"February 1, 1968",Captain America Vol 1 101,Steven Rogers (Earth-616)
"March 7, 1968",Avengers Vol 1 52,Steven Rogers (Earth-616)
"February 29, 1968",Captain America Vol 1 102,Steven Rogers (Earth-616)
"April 2, 1968",Captain America Vol 1 103,Steven Rogers (Earth-616)
"May 2, 1968",Captain America Vol 1 104,Steven Rogers (Earth-616)
"June 11, 1968",Daredevil Vol 1 43,Steven Rogers (Earth-616)
"June 4, 1968",Captain America Vol 1 105,Steven Rogers (Earth-616)
"July 9, 1968",Avengers Annual Vol 1 2,Steven Rogers (Earth-616)
"July 11, 1968",Avengers Vol 1 56,Steven Rogers (Earth-616)
"July 2, 1968",Captain America Vol 1 106,Steven Rogers (Earth-616)
"August 1, 1968",Captain America Vol 1 107,Steven Rogers (Earth-616)
"September 10, 1968",Avengers Vol 1 58,Steven Rogers (Earth-616)
"September 3, 1968",Captain America Vol 1 108,Steven Rogers (Earth-616)
"October 3, 1968",Captain America Vol 1 109,Steven Rogers (Earth-616)
"November 12, 1968",Avengers Vol 1 60,Steven Rogers (Earth-616)
"November 5, 1968",Captain America Vol 1 110,Steven Rogers (Earth-616)
"December 5, 1968",Captain America Vol 1 111,Steven Rogers (Earth-616)
"January 2, 1969",Captain America Vol 1 112,Steven Rogers (Earth-616)
"February 4, 1969",Captain America Vol 1 113,Steven Rogers (Earth-616)
"March 4, 1969",Captain America Vol 1 114,Steven Rogers (Earth-616)
"April 3, 1969",Captain America Vol 1 115,Steven Rogers (Earth-616)
"May 6, 1969",Captain America Vol 1 116,Steven Rogers (Earth-616)
"June 3, 1969",Captain America Vol 1 117,Steven Rogers (Earth-616)
"July 1, 1969",Captain America Vol 1 118,Steven Rogers (Earth-616)
"July 1, 1969",Iron Man Vol 1 18,Steven Rogers (Earth-616)
"August 5, 1969",Avengers Vol 1 69,Steven Rogers (Earth-616)
"July 30, 1969",Captain America Vol 1 119,Steven Rogers (Earth-616)
"July 30, 1969",Iron Man Vol 1 19,Steven Rogers (Earth-616)
"September 9, 1969",Avengers Vol 1 70,Steven Rogers (Earth-616)
"September 2, 1969",Captain America Vol 1 120,Steven Rogers (Earth-616)
"October 7, 1969",Avengers Vol 1 71,Steven Rogers (Earth-616)
"October 1, 1969",Captain America Vol 1 121,Steven Rogers (Earth-616)
"November 12, 1969",Avengers Vol 1 72,Steven Rogers (Earth-616)
"November 5, 1969",Captain America Vol 1 122,Steven Rogers (Earth-616)
"December 2, 1969",Captain America Vol 1 123,Steven Rogers (Earth-616)
"December 29, 1969",Captain America Vol 1 124,Steven Rogers (Earth-616)
"February 5, 1970",Captain America Vol 1 125,Steven Rogers (Earth-616)
"February 12, 1970",Avengers Vol 1 75,Steven Rogers (Earth-616)
"March 12, 1970",Avengers Vol 1 76,Steven Rogers (Earth-616)
"March 5, 1970",Captain America Vol 1 126,Steven Rogers (Earth-616)
"April 3, 1970",Captain America Vol 1 127,Steven Rogers (Earth-616)
"May 14, 1970",Avengers Vol 1 78,Steven Rogers (Earth-616)
"May 7, 1970",Captain America Vol 1 128,Steven Rogers (Earth-616)
"June 11, 1970",Avengers Vol 1 79,Steven Rogers (Earth-616)
"June 4, 1970",Captain America Vol 1 129,Steven Rogers (Earth-616)
"July 14, 1970",Avengers Vol 1 80,Steven Rogers (Earth-616)
"July 7, 1970",Captain America Vol 1 130,Steven Rogers (Earth-616)
"August 11, 1970",Avengers Vol 1 81,Steven Rogers (Earth-616)
"August 4, 1970",Captain America Vol 1 131,Steven Rogers (Earth-616)
"September 8, 1970",Avengers Vol 1 82,Steven Rogers (Earth-616)
"September 1, 1970",Captain America Vol 1 132,Steven Rogers (Earth-616)
"October 6, 1970",Captain America Vol 1 133,Steven Rogers (Earth-616)
"November 3, 1970",Captain America Vol 1 134,Steven Rogers (Earth-616)
"December 8, 1970",Avengers Vol 1 85,Steven Rogers (Earth-616)
"December 8, 1970",Daredevil Vol 1 73,Steven Rogers (Earth-616)
"December 1, 1970",Captain America Vol 1 135,Steven Rogers (Earth-616)
"December 1, 1970",Sub-Mariner Vol 1 35,Steven Rogers (Earth-616)
"January 12, 1971",Captain America Vol 1 136,Steven Rogers (Earth-616)
"February 9, 1971",Captain America Vol 1 137,Steven Rogers (Earth-616)
"March 9, 1971",Avengers Vol 1 88,Steven Rogers (Earth-616)
"March 9, 1971",Captain America Vol 1 138,Steven Rogers (Earth-616)
"April 6, 1971",Iron Man Vol 1 39,Steven Rogers (Earth-616)
"April 13, 1971",Captain America Vol 1 139,Steven Rogers (Earth-616)
"May 11, 1971",Captain America Vol 1 140,Steven Rogers (Earth-616)
"June 8, 1971",Amazing Adventures Vol 2 8,Steven Rogers (Earth-616)
"June 8, 1971",Captain America Vol 1 141,Steven Rogers (Earth-616)
"July 13, 1971",Captain America Vol 1 142,Steven Rogers (Earth-616)
"August 10, 1971",Avengers Vol 1 93,Steven Rogers (Earth-616)
"August 10, 1971",Captain America Vol 1 143,Steven Rogers (Earth-616)
"September 7, 1971",Avengers Vol 1 94,Steven Rogers (Earth-616)
"September 7, 1971",Captain America Vol 1 144,Steven Rogers (Earth-616)
"October 5, 1971",Iron Man Vol 1 44,Steven Rogers (Earth-616)
"October 12, 1971",Avengers Vol 1 95,Steven Rogers (Earth-616)
"October 12, 1971",Captain America Vol 1 145,Steven Rogers (Earth-616)
"November 9, 1971",Avengers Vol 1 96,Steven Rogers (Earth-616)
"November 9, 1971",Captain America Vol 1 146,Steven Rogers (Earth-616)
"December 7, 1971",Avengers Vol 1 97,Steven Rogers (Earth-616)
"December 7, 1971",Captain America Vol 1 147,Steven Rogers (Earth-616)
"January 11, 1972",Avengers Vol 1 98,Steven Rogers (Earth-616)
"January 11, 1972",Captain America Vol 1 148,Steven Rogers (Earth-616)
"February 15, 1972",Avengers Vol 1 99,Steven Rogers (Earth-616)
"February 15, 1972",Captain America Vol 1 149,Steven Rogers (Earth-616)
"March 14, 1972",Captain America Vol 1 150,Steven Rogers (Earth-616)
"March 14, 1972",Avengers Vol 1 100,Steven Rogers (Earth-616)
"April 11, 1972",Avengers Vol 1 101,Steven Rogers (Earth-616)
"March 14, 1972",Incredible Hulk Vol 1 152,Steven Rogers (Earth-616)
"April 11, 1972",Captain America Vol 1 151,Steven Rogers (Earth-616)
"April 11, 1972",Incredible Hulk Vol 1 153,Steven Rogers (Earth-616)
"April 25, 1972",Sgt. Fury Vol 1 100,Steven Rogers (Earth-616)
"May 16, 1972",Avengers Vol 1 102,Steven Rogers (Earth-616)
"May 16, 1972",Captain America Vol 1 152,Steven Rogers (Earth-616)
"June 13, 1972",Avengers Vol 1 103,Steven Rogers (Earth-616)
"June 13, 1972",Captain America Vol 1 153,Steven Rogers (Earth-616)
"June 27, 1972",Captain Marvel Vol 1 22,Steven Rogers (Earth-616)
"July 11, 1972",Avengers Vol 1 104,Steven Rogers (Earth-616)
"July 11, 1972",Captain America Vol 1 154,Steven Rogers (Earth-616)
"September 5, 1972",Avengers Vol 1 106,Steven Rogers (Earth-616)
"August 8, 1972",Captain America Vol 1 155,Steven Rogers (Earth-616)
"September 5, 1972",Captain America Vol 1 156,Steven Rogers (Earth-616)
"October 10, 1972",Avengers Vol 1 107,Steven Rogers (Earth-616)
"October 10, 1972",Captain America Vol 1 157,Steven Rogers (Earth-616)
"November 7, 1972",Avengers Vol 1 108,Steven Rogers (Earth-616)
"November 7, 1972",Captain America Vol 1 158,Steven Rogers (Earth-616)
"January 9, 1973",Avengers Vol 1 110,Steven Rogers (Earth-616)
"December 5, 1972",Captain America Vol 1 159,Steven Rogers (Earth-616)
"January 9, 1973",Captain America Vol 1 160,Steven Rogers (Earth-616)
"January 23, 1973",Fantastic Four Vol 1 133,Steven Rogers (Earth-616)
"February 13, 1973",Captain America Vol 1 161,Steven Rogers (Earth-616)
"February 20, 1973",Avengers Vol 1 111,Steven Rogers (Earth-616)
"February 27, 1973",Marvel Team-Up Vol 1 9,Steven Rogers (Earth-616)
"March 13, 1973",Captain America Vol 1 162,Steven Rogers (Earth-616)
"March 20, 1973",Avengers Vol 1 112,Steven Rogers (Earth-616)
"March 27, 1973",Marvel Team-Up Vol 1 10,Steven Rogers (Earth-616)
"April 10, 1973",Captain America Vol 1 163,Steven Rogers (Earth-616)
"April 17, 1973",Avengers Vol 1 113,Steven Rogers (Earth-616)
"April 17, 1973",Marvel Feature Vol 1 10,Steven Rogers (Earth-616)
"April 24, 1973",Captain Marvel Vol 1 27,Steven Rogers (Earth-616)
"May 15, 1973",Captain America Vol 1 164,Steven Rogers (Earth-616)
"May 22, 1973",Avengers Vol 1 114,Steven Rogers (Earth-616)
"June 12, 1973",Captain America Vol 1 165,Steven Rogers (Earth-616)
"June 19, 1973",Avengers Vol 1 115,Steven Rogers (Earth-616)
"June 26, 1973",Captain Marvel Vol 1 28,Steven Rogers (Earth-616)
"June 26, 1973",Marvel Team-Up Vol 1 13,Steven Rogers (Earth-616)
"July 10, 1973",Captain America Vol 1 166,Steven Rogers (Earth-616)
"July 17, 1973",Avengers Vol 1 116,Steven Rogers (Earth-616)
"July 24, 1973",Defenders Vol 1 9,Steven Rogers (Earth-616)
"August 7, 1973",Captain America Vol 1 167,Steven Rogers (Earth-616)
"August 14, 1973",Avengers Vol 1 117,Steven Rogers (Earth-616)
"August 21, 1973",Defenders Vol 1 10,Steven Rogers (Earth-616)
"September 4, 1973",Captain America Vol 1 168,Steven Rogers (Earth-616)
"September 11, 1973",Avengers Vol 1 118,Steven Rogers (Earth-616)
"September 18, 1973",Defenders Vol 1 11,Steven Rogers (Earth-616)
"October 2, 1973",Captain America Vol 1 169,Steven Rogers (Earth-616)
"October 9, 1973",Avengers Vol 1 119,Steven Rogers (Earth-616)
"October 30, 1973",Captain America Vol 1 170,Steven Rogers (Earth-616)
"November 27, 1973",Captain America Vol 1 171,Steven Rogers (Earth-616)
"December 4, 1973",Avengers Vol 1 121,Steven Rogers (Earth-616)
"December 4, 1973",Captain Marvel Vol 1 31,Steven Rogers (Earth-616)
"January 1, 1974",Captain America Vol 1 172,Steven Rogers (Earth-616)
"February 5, 1974",Captain America Vol 1 173,Steven Rogers (Earth-616)
"February 5, 1974",Defenders Vol 1 13,Steven Rogers (Earth-616)
"February 12, 1974",Captain Marvel Vol 1 32,Steven Rogers (Earth-616)
"March 12, 1974",Captain America Vol 1 174,Steven Rogers (Earth-616)
"April 9, 1974",Captain America Vol 1 175,Steven Rogers (Earth-616)
"April 16, 1974",Avengers Vol 1 125,Steven Rogers (Earth-616)
"April 16, 1974",Captain Marvel Vol 1 33,Steven Rogers (Earth-616)
"April 16, 1974",Marvel Two-In-One Vol 1 4,Steven Rogers (Earth-616)
"May 7, 1974",Captain America Vol 1 176,Steven Rogers (Earth-616)
"May 14, 1974",Avengers Vol 1 126,Steven Rogers (Earth-616)
"May 14, 1974",Giant-Size Avengers Vol 1 1,Steven Rogers (Earth-616)
"June 11, 1974",Captain America Vol 1 177,Steven Rogers (Earth-616)
"July 9, 1974",Captain America Vol 1 178,Steven Rogers (Earth-616)
"June 18, 1974",Marvel Two-In-One Vol 1 5,Steven Rogers (Earth-616)
"August 6, 1974",Captain America Vol 1 179,Steven Rogers (Earth-616)
"August 27, 1974",Giant-Size Avengers Vol 1 2,Steven Rogers (Earth-616)
"September 10, 1974",Captain America Vol 1 180,Steven Rogers (Earth-616)
"October 10, 1974",Captain America Vol 1 181,Steven Rogers (Earth-616)
"October 17, 1974",Avengers Vol 1 131,Steven Rogers (Earth-616)
"November 12, 1974",Captain America Vol 1 182,Steven Rogers (Earth-616)
"December 10, 1974",Captain America Vol 1 183,Steven Rogers (Earth-616)
"January 14, 1975",Captain America Vol 1 184,Steven Rogers (Earth-616)
"February 11, 1975",Captain America Vol 1 185,Steven Rogers (Earth-616)
"March 11, 1975",Captain America Vol 1 186,Steven Rogers (Earth-616)
"April 8, 1975",Captain America Vol 1 187,Steven Rogers (Earth-616)
"March 11, 1975",Giant-Size Invaders Vol 1 1,Steven Rogers (Earth-616)
"May 13, 1975",Invaders Vol 1 1,Steven Rogers (Earth-616)
"May 13, 1975",Captain America Vol 1 188,Steven Rogers (Earth-616)
"May 20, 1975",Defenders Vol 1 26,Steven Rogers (Earth-616)
"June 10, 1975",Captain America Vol 1 189,Steven Rogers (Earth-616)
